"Population by Five Years Age Group","Number"
"0-4",""
"Female","5016"
"Male","4976"
"10-14",""
"Female","6887"
"Male","7097"
"15-19",""
"Female","6658"
"Male","6122"
"20-24",""
"Female","4834"
"Male","3813"
"25-29",""
"Female","3939"
"Male","3308"
"30-34",""
"Female","3167"
"Male","2600"
"35-39",""
"Female","2966"
"Male","2691"
"40-44",""
"Female","3016"
"Male","2661"
"45-49",""
"Female","2680"
"Male","2419"
"50-54",""
"Female","2354"
"Male","2353"
"55-59",""
"Female","1867"
"Male","1913"
"5-9",""
"Female","6325"
"Male","6410"
"60-64",""
"Female","1650"
"Male","1592"
"65-69",""
"Female","1253"
"Male","1273"
"70-74",""
"Female","970"
"Male","938"
"75+",""
"Female","1104"
"Male","1034"
