"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","5"
"Male","7"
"Brahman - Hill",""
"Female","1112"
"Male","968"
"Chhetri",""
"Female","3240"
"Male","2448"
"Damai/Dholi",""
"Female","532"
"Male","389"
"Gharti/Bhujel",""
"Female","53"
"Male","49"
"Gurung",""
"Female","59"
"Male","63"
"Kami",""
"Female","3055"
"Male","2490"
"Kumal",""
"Female","81"
"Male","60"
"Lhomi",""
"Female","100"
"Male","64"
"Magar",""
"Female","7367"
"Male","6179"
"Musalman",""
"Female","7"
"Male","12"
"Newar",""
"Female","11"
"Male","3"
"Others",""
"Female","16"
"Male","13"
"Sanyasi/Dasnami",""
"Female","727"
"Male","612"
"Sarki",""
"Female","22"
"Male","21"
"Terai Others",""
"Female","6"
"Male","6"
"Thakali",""
"Female","68"
"Male","60"
"Thakuri",""
"Female","211"
"Male","176"
