"Population by Five Years Age Group","Number"
"0-4",""
"Female","1245"
"Male","1337"
"10-14",""
"Female","1209"
"Male","1297"
"15-19",""
"Female","994"
"Male","1021"
"20-24",""
"Female","727"
"Male","657"
"25-29",""
"Female","706"
"Male","685"
"30-34",""
"Female","568"
"Male","474"
"35-39",""
"Female","544"
"Male","517"
"40-44",""
"Female","381"
"Male","399"
"45-49",""
"Female","392"
"Male","369"
"50-54",""
"Female","315"
"Male","353"
"55-59",""
"Female","222"
"Male","292"
"5-9",""
"Female","1385"
"Male","1362"
"60-64",""
"Female","312"
"Male","267"
"65-69",""
"Female","191"
"Male","200"
"70-74",""
"Female","125"
"Male","116"
"75+",""
"Female","110"
"Male","111"
