"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","816"
"Male","747"
"Chhetri",""
"Female","91"
"Male","83"
"Damai/Dholi",""
"Female","201"
"Male","149"
"Gharti/Bhujel",""
"Female","8"
"Male","8"
"Gurung",""
"Female","8"
"Male","11"
"Kami",""
"Female","442"
"Male","343"
"Magar",""
"Female","8455"
"Male","6516"
"Newar",""
"Female","481"
"Male","374"
"Others",""
"Female","21"
"Male","23"
"Sanyasi/Dasnami",""
"Female","24"
"Male","16"
"Sarki",""
"Female","452"
"Male","271"
"Thakuri",""
"Female","27"
"Male","22"
