"Population by Five Years Age Group","Number"
"0-4",""
"Female","1006"
"Male","1043"
"10-14",""
"Female","1432"
"Male","1418"
"15-19",""
"Female","1375"
"Male","1080"
"20-24",""
"Female","1092"
"Male","457"
"25-29",""
"Female","778"
"Male","298"
"30-34",""
"Female","614"
"Male","279"
"35-39",""
"Female","642"
"Male","311"
"40-44",""
"Female","575"
"Male","344"
"45-49",""
"Female","502"
"Male","337"
"50-54",""
"Female","471"
"Male","381"
"55-59",""
"Female","430"
"Male","403"
"5-9",""
"Female","1172"
"Male","1279"
"60-64",""
"Female","362"
"Male","300"
"65-69",""
"Female","239"
"Male","229"
"70-74",""
"Female","159"
"Male","177"
"75+",""
"Female","178"
"Male","227"
