"Agricultural land use area","Hectare"
"Area under arable land","16794.92"
"Area under meadows and pasture","247.19"
"Area under permanent crops","9787.79"
"Area under Temporary crops","16135.11"
"Area under temporary fallow","532.88"
"Area under temporary meadows","126.93"
"Other land","1014.20"
"Ponds","1.63"
"Woodland and forest","3751.52"
