"Number of households by type of outer wall","Number"
"BambooWall","968"
"Cement Bonded Bricks/Stone Wall","3842"
"Mud Bonded Bricks/Stone Wall","4175"
"Not Stated about Wall","47"
"Other Type Wall","706"
"Unbaked Bricks","205"
"Wood/Planks","2112"
"Total","12055"
