"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4"
"Cow Dung","7"
"Electricity","0"
"Kerosene","30"
"LP Gas","2"
"Not stated","8"
"Others","1"
"Wood/Firewood","3439"
"Total","3491"
