"Population by Five Years Age Group","Number"
"0-4",""
"Female","748"
"Male","815"
"10-14",""
"Female","1158"
"Male","1158"
"15-19",""
"Female","1067"
"Male","973"
"20-24",""
"Female","712"
"Male","452"
"25-29",""
"Female","521"
"Male","292"
"30-34",""
"Female","445"
"Male","283"
"35-39",""
"Female","487"
"Male","303"
"40-44",""
"Female","494"
"Male","349"
"45-49",""
"Female","464"
"Male","357"
"50-54",""
"Female","366"
"Male","362"
"55-59",""
"Female","312"
"Male","311"
"5-9",""
"Female","1065"
"Male","925"
"60-64",""
"Female","261"
"Male","254"
"65-69",""
"Female","209"
"Male","208"
"70-74",""
"Female","156"
"Male","169"
"75+",""
"Female","176"
"Male","246"
