"Population by Single Year of Age","Number"
"0",""
"Female","326"
"Male","377"
"1",""
"Female","319"
"Male","387"
"10",""
"Female","605"
"Male","667"
"11",""
"Female","524"
"Male","573"
"12",""
"Female","640"
"Male","715"
"13",""
"Female","601"
"Male","654"
"14",""
"Female","642"
"Male","692"
"15",""
"Female","607"
"Male","634"
"16",""
"Female","683"
"Male","664"
"17",""
"Female","738"
"Male","606"
"18",""
"Female","803"
"Male","710"
"19",""
"Female","640"
"Male","529"
"2",""
"Female","375"
"Male","386"
"20",""
"Female","806"
"Male","608"
"21",""
"Female","644"
"Male","482"
"22",""
"Female","725"
"Male","468"
"23",""
"Female","554"
"Male","382"
"24",""
"Female","624"
"Male","411"
"25",""
"Female","614"
"Male","554"
"26",""
"Female","510"
"Male","428"
"27",""
"Female","546"
"Male","362"
"28",""
"Female","568"
"Male","411"
"29",""
"Female","407"
"Male","274"
"3",""
"Female","329"
"Male","438"
"30",""
"Female","658"
"Male","365"
"31",""
"Female","319"
"Male","243"
"32",""
"Female","484"
"Male","291"
"33",""
"Female","346"
"Male","234"
"34",""
"Female","335"
"Male","238"
"35",""
"Female","572"
"Male","353"
"36",""
"Female","365"
"Male","249"
"37",""
"Female","284"
"Male","199"
"38",""
"Female","348"
"Male","285"
"39",""
"Female","284"
"Male","205"
"4",""
"Female","434"
"Male","483"
"40",""
"Female","529"
"Male","398"
"41",""
"Female","202"
"Male","203"
"42",""
"Female","331"
"Male","282"
"43",""
"Female","229"
"Male","183"
"44",""
"Female","201"
"Male","188"
"45",""
"Female","375"
"Male","290"
"46",""
"Female","207"
"Male","196"
"47",""
"Female","206"
"Male","188"
"48",""
"Female","315"
"Male","230"
"49",""
"Female","198"
"Male","165"
"5",""
"Female","483"
"Male","516"
"50",""
"Female","386"
"Male","315"
"51",""
"Female","168"
"Male","177"
"52",""
"Female","220"
"Male","221"
"53",""
"Female","159"
"Male","143"
"54",""
"Female","161"
"Male","144"
"55",""
"Female","244"
"Male","207"
"56",""
"Female","158"
"Male","153"
"57",""
"Female","166"
"Male","147"
"58",""
"Female","177"
"Male","138"
"59",""
"Female","118"
"Male","125"
"6",""
"Female","444"
"Male","531"
"60",""
"Female","297"
"Male","211"
"61",""
"Female","148"
"Male","117"
"62",""
"Female","157"
"Male","113"
"63",""
"Female","129"
"Male","86"
"64",""
"Female","101"
"Male","97"
"65",""
"Female","201"
"Male","129"
"66",""
"Female","86"
"Male","87"
"67",""
"Female","123"
"Male","123"
"68",""
"Female","128"
"Male","149"
"69",""
"Female","67"
"Male","61"
"7",""
"Female","563"
"Male","552"
"70",""
"Female","173"
"Male","117"
"71",""
"Female","55"
"Male","64"
"72",""
"Female","93"
"Male","85"
"73",""
"Female","75"
"Male","59"
"74",""
"Female","54"
"Male","52"
"75",""
"Female","104"
"Male","76"
"76",""
"Female","50"
"Male","37"
"77",""
"Female","59"
"Male","47"
"78",""
"Female","69"
"Male","67"
"79",""
"Female","29"
"Male","38"
"8",""
"Female","536"
"Male","556"
"80",""
"Female","65"
"Male","57"
"81",""
"Female","30"
"Male","35"
"82",""
"Female","39"
"Male","26"
"83",""
"Female","31"
"Male","27"
"84",""
"Female","34"
"Male","29"
"85",""
"Female","126"
"Male","97"
"9",""
"Female","530"
"Male","559"
