"Population by Mother tongue","Number"
"Avadhi",""
"Female","16"
"Male","18"
"Bhojpuri",""
"Female","36"
"Male","120"
"Bote",""
"Female","93"
"Male","80"
"English",""
"Female","10"
"Male","11"
"Gurung",""
"Female","20"
"Male","19"
"Hindi",""
"Female","85"
"Male","137"
"Kham",""
"Female","15"
"Male","21"
"Kumal",""
"Female","5"
"Male","9"
"Magar",""
"Female","2890"
"Male","2270"
"Maithili",""
"Female","26"
"Male","59"
"Nepali",""
"Female","22927"
"Male","18732"
"Newar",""
"Female","1311"
"Male","1134"
"Not Reported",""
"Female","19"
"Male","19"
"Others",""
"Female","30"
"Male","28"
"Rai",""
"Female","15"
"Male","12"
"Tamang",""
"Female","9"
"Male","19"
"Tharu",""
"Female","43"
"Male","74"
"Urdu",""
"Female","39"
"Male","54"
