"Agricultural land use area","Hectare"
"Area under arable land","70588.70"
"Area under meadows and pasture","26.51"
"Area under permanent crops","1108.54"
"Area under Temporary crops","69422.78"
"Area under temporary fallow","1153.00"
"Area under temporary meadows","12.92"
"Other land","3032.74"
"Ponds","218.16"
"Woodland and forest","166.70"
