"Population by Five Years Age Group","Number"
"0-4",""
"Female","2869"
"Male","3046"
"10-14",""
"Female","4424"
"Male","4404"
"15-19",""
"Female","3990"
"Male","3561"
"20-24",""
"Female","3235"
"Male","2626"
"25-29",""
"Female","2666"
"Male","2224"
"30-34",""
"Female","2098"
"Male","1752"
"35-39",""
"Female","1806"
"Male","1679"
"40-44",""
"Female","1547"
"Male","1374"
"45-49",""
"Female","1138"
"Male","1224"
"50-54",""
"Female","855"
"Male","930"
"55-59",""
"Female","820"
"Male","792"
"5-9",""
"Female","3976"
"Male","3946"
"60-64",""
"Female","795"
"Male","725"
"65-69",""
"Female","481"
"Male","570"
"70-74",""
"Female","344"
"Male","367"
"75+",""
"Female","318"
"Male","343"
