"Agricultural land use area","Hectare"
"Area under arable land","30623.30"
"Area under meadows and pasture","157.79"
"Area under permanent crops","253.45"
"Area under Temporary crops","30222.24"
"Area under temporary fallow","372.29"
"Area under temporary meadows","28.77"
"Other land","1393.65"
"Ponds","5.52"
"Woodland and forest","562.78"
