"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1101"
"Cow Dung","26"
"Electricity","72"
"Kerosene","384"
"LP Gas","3913"
"Not stated","511"
"Others","29"
"Wood/Firewood","53158"
"Total","59194"
