"Population by Five Years Age Group","Number"
"0-4",""
"Female","10616"
"Male","11168"
"10-14",""
"Female","18916"
"Male","18430"
"15-19",""
"Female","17948"
"Male","15576"
"20-24",""
"Female","13113"
"Male","10022"
"25-29",""
"Female","10762"
"Male","8122"
"30-34",""
"Female","8929"
"Male","7144"
"35-39",""
"Female","8575"
"Male","6956"
"40-44",""
"Female","8201"
"Male","7252"
"45-49",""
"Female","6890"
"Male","6660"
"50-54",""
"Female","6291"
"Male","6511"
"55-59",""
"Female","4629"
"Male","5041"
"5-9",""
"Female","14736"
"Male","14934"
"60-64",""
"Female","4566"
"Male","4507"
"65-69",""
"Female","3529"
"Male","3642"
"70-74",""
"Female","2940"
"Male","2895"
"75+",""
"Female","4043"
"Male","3927"
