"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","18"
"Cow Dung","0"
"Electricity Fuel","21"
"KeroseneFuel","81"
"LP Gas","1015"
"Not Sated about Fuel","59"
"OthersFuel","7"
"Wood/FireWood","6245"
"Total","7446"
