"Number of households by type of outer wall","Number"
"BambooWall","1914"
"Cement Bonded Bricks/Stone Wall","283"
"Mud Bonded Bricks/Stone Wall","4977"
"Not Stated about Wall","72"
"Other Type Wall","23"
"Unbaked Bricks","38"
"Wood/Planks","139"
"Total","7446"
