"Number of households by type of outer wall","Number"
"BambooWall","154"
"Cement Bonded Bricks/Stone Wall","1358"
"Mud Bonded Bricks/Stone Wall","6681"
"Not Stated about Wall","28"
"Other Type Wall","31"
"Unbaked Bricks","1"
"Wood/Planks","22"
"Total","8275"
