"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","9"
"","14"
"Bhojpuri",""
"Female","27"
"Male","30"
"","57"
"Gurung",""
"Female","229"
"Male","209"
"","438"
"Hindi",""
"Female","1"
"Male","21"
"","22"
"Magar",""
"Female","6019"
"Male","4588"
"","10607"
"Maithili",""
"Female","11"
"Male","12"
"","23"
"Nepali",""
"Female","14468"
"Male","11132"
"","25600"
"Newar",""
"Female","515"
"Male","405"
"","920"
"Not Reported",""
"Female","12"
"Male","3"
"","15"
"Others",""
"Female","18"
"Male","19"
"","37"
"Tharu",""
"Female","11"
"Male","25"
"","36"
"Urdu",""
"Female","18"
"Male","22"
"","40"
