"Agricultural land use area","Hectare"
"Area under arable land","4964.86"
"Area under meadows and pasture","2.09"
"Area under permanent crops","125.19"
"Area under Temporary crops","4934.42"
"Area under temporary fallow","26.10"
"Area under temporary meadows","4.34"
"Other land","126.59"
"Ponds","0.00"
"Woodland and forest","13.38"
