"Population by Single Year of Age","Number"
"0",""
"Female","641"
"Male","644"
"1",""
"Female","632"
"Male","593"
"10",""
"Female","681"
"Male","725"
"11",""
"Female","502"
"Male","568"
"12",""
"Female","672"
"Male","737"
"13",""
"Female","545"
"Male","610"
"14",""
"Female","647"
"Male","652"
"15",""
"Female","543"
"Male","552"
"16",""
"Female","518"
"Male","538"
"17",""
"Female","343"
"Male","394"
"18",""
"Female","571"
"Male","534"
"19",""
"Female","310"
"Male","311"
"2",""
"Female","733"
"Male","766"
"20",""
"Female","593"
"Male","434"
"21",""
"Female","358"
"Male","349"
"22",""
"Female","449"
"Male","415"
"23",""
"Female","409"
"Male","365"
"24",""
"Female","399"
"Male","406"
"25",""
"Female","507"
"Male","583"
"26",""
"Female","367"
"Male","424"
"27",""
"Female","296"
"Male","352"
"28",""
"Female","430"
"Male","471"
"29",""
"Female","164"
"Male","232"
"3",""
"Female","862"
"Male","846"
"30",""
"Female","618"
"Male","565"
"31",""
"Female","190"
"Male","215"
"32",""
"Female","319"
"Male","318"
"33",""
"Female","203"
"Male","237"
"34",""
"Female","206"
"Male","206"
"35",""
"Female","517"
"Male","493"
"36",""
"Female","259"
"Male","297"
"37",""
"Female","148"
"Male","196"
"38",""
"Female","277"
"Male","334"
"39",""
"Female","138"
"Male","162"
"4",""
"Female","864"
"Male","815"
"40",""
"Female","525"
"Male","466"
"41",""
"Female","139"
"Male","198"
"42",""
"Female","187"
"Male","249"
"43",""
"Female","159"
"Male","163"
"44",""
"Female","137"
"Male","156"
"45",""
"Female","445"
"Male","394"
"46",""
"Female","152"
"Male","216"
"47",""
"Female","129"
"Male","163"
"48",""
"Female","204"
"Male","285"
"49",""
"Female","121"
"Male","145"
"5",""
"Female","777"
"Male","787"
"50",""
"Female","423"
"Male","402"
"51",""
"Female","107"
"Male","149"
"52",""
"Female","141"
"Male","205"
"53",""
"Female","94"
"Male","143"
"54",""
"Female","85"
"Male","112"
"55",""
"Female","269"
"Male","289"
"56",""
"Female","111"
"Male","146"
"57",""
"Female","73"
"Male","110"
"58",""
"Female","118"
"Male","168"
"59",""
"Female","80"
"Male","107"
"6",""
"Female","790"
"Male","699"
"60",""
"Female","371"
"Male","344"
"61",""
"Female","154"
"Male","156"
"62",""
"Female","174"
"Male","168"
"63",""
"Female","100"
"Male","113"
"64",""
"Female","87"
"Male","76"
"65",""
"Female","241"
"Male","168"
"66",""
"Female","77"
"Male","88"
"67",""
"Female","60"
"Male","64"
"68",""
"Female","66"
"Male","82"
"69",""
"Female","36"
"Male","35"
"7",""
"Female","682"
"Male","648"
"70",""
"Female","132"
"Male","124"
"71",""
"Female","37"
"Male","51"
"72",""
"Female","32"
"Male","50"
"73",""
"Female","24"
"Male","27"
"74",""
"Female","11"
"Male","26"
"75",""
"Female","57"
"Male","52"
"76",""
"Female","19"
"Male","24"
"77",""
"Female","16"
"Male","11"
"78",""
"Female","22"
"Male","32"
"79",""
"Female","11"
"Male","15"
"8",""
"Female","646"
"Male","660"
"80",""
"Female","48"
"Male","44"
"81",""
"Female","16"
"Male","20"
"82",""
"Female","15"
"Male","12"
"83",""
"Female","10"
"Male","6"
"84",""
"Female","13"
"Male","7"
"85",""
"Female","46"
"Male","44"
"9",""
"Female","645"
"Male","595"
