"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","60"
"Male","57"
"Brahman - Hill",""
"Female","1573"
"Male","1633"
"Byasi/Sauka",""
"Female","1248"
"Male","1213"
"Chhetri",""
"Female","9680"
"Male","9743"
"Damai/Dholi",""
"Female","859"
"Male","909"
"Gurung",""
"Female","8"
"Male","11"
"Kami",""
"Female","2429"
"Male","2468"
"Magar",""
"Female","68"
"Male","112"
"Newar",""
"Female","4"
"Male","10"
"Others",""
"Female","52"
"Male","119"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"Sarki",""
"Female","537"
"Male","592"
"Tamang",""
"Female","3290"
"Male","3205"
"Teli",""
"Female","56"
"Male","58"
"Terai Others",""
"Female","7"
"Male","6"
"Thakuri",""
"Female","4974"
"Male","4926"
"Tharu",""
"Female","3"
"Male","9"
