"Population by Five Years Age Group","Number"
"0-4",""
"Female","3732"
"Male","3664"
"10-14",""
"Female","3047"
"Male","3292"
"15-19",""
"Female","2285"
"Male","2329"
"20-24",""
"Female","2208"
"Male","1969"
"25-29",""
"Female","1764"
"Male","2062"
"30-34",""
"Female","1536"
"Male","1541"
"35-39",""
"Female","1339"
"Male","1482"
"40-44",""
"Female","1147"
"Male","1232"
"45-49",""
"Female","1051"
"Male","1203"
"50-54",""
"Female","850"
"Male","1011"
"55-59",""
"Female","651"
"Male","820"
"5-9",""
"Female","3540"
"Male","3389"
"60-64",""
"Female","886"
"Male","857"
"65-69",""
"Female","480"
"Male","437"
"70-74",""
"Female","236"
"Male","278"
"75+",""
"Female","273"
"Male","267"
