"Population by Five Years Age Group","Number"
"0-4",""
"Female","1161"
"Male","1230"
"10-14",""
"Female","1789"
"Male","1661"
"15-19",""
"Female","1818"
"Male","1427"
"20-24",""
"Female","1449"
"Male","713"
"25-29",""
"Female","1178"
"Male","446"
"30-34",""
"Female","962"
"Male","411"
"35-39",""
"Female","972"
"Male","402"
"40-44",""
"Female","841"
"Male","465"
"45-49",""
"Female","713"
"Male","478"
"50-54",""
"Female","657"
"Male","531"
"55-59",""
"Female","543"
"Male","489"
"5-9",""
"Female","1427"
"Male","1396"
"60-64",""
"Female","545"
"Male","418"
"65-69",""
"Female","381"
"Male","388"
"70-74",""
"Female","246"
"Male","278"
"75+",""
"Female","345"
"Male","336"
