"Population by Five Years Age Group","Number"
"0-4",""
"Female","909"
"Male","962"
"10-14",""
"Female","1569"
"Male","1441"
"15-19",""
"Female","1589"
"Male","1159"
"20-24",""
"Female","1107"
"Male","519"
"25-29",""
"Female","837"
"Male","418"
"30-34",""
"Female","662"
"Male","362"
"35-39",""
"Female","717"
"Male","420"
"40-44",""
"Female","645"
"Male","409"
"45-49",""
"Female","560"
"Male","450"
"50-54",""
"Female","584"
"Male","484"
"55-59",""
"Female","394"
"Male","401"
"5-9",""
"Female","1149"
"Male","1052"
"60-64",""
"Female","470"
"Male","390"
"65-69",""
"Female","304"
"Male","326"
"70-74",""
"Female","294"
"Male","292"
"75+",""
"Female","467"
"Male","442"
