"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","817"
"Male","649"
"Chhetri",""
"Female","2355"
"Male","1763"
"Damai/Dholi",""
"Female","223"
"Male","198"
"Ghale",""
"Female","1467"
"Male","1007"
"Gharti/Bhujel",""
"Female","52"
"Male","38"
"Gurung",""
"Female","1694"
"Male","1285"
"Kami",""
"Female","518"
"Male","440"
"Magar",""
"Female","530"
"Male","413"
"Musalman",""
"Female","6"
"Male","7"
"Newar",""
"Female","601"
"Male","471"
"Others",""
"Female","16"
"Male","9"
"Rai",""
"Female","33"
"Male","33"
"Sarki",""
"Female","370"
"Male","258"
"Tamang",""
"Female","3575"
"Male","2956"
