"Agricultural land use area","Hectare"
"Area under arable land","7021.00"
"Area under meadows and pasture","108.00"
"Area under permanent crops","382.00"
"Area under Temporary crops","6726.00"
"Area under temporary fallow","210.00"
"Area under temporary meadows","84.00"
"Other land","644.00"
"Ponds","16.00"
"Woodland and forest","1130.00"
"Total","16321.00"
