"Number of households by type of outer wall","Number"
"BambooWall","606"
"Cement Bonded Bricks/Stone Wall","71117"
"Mud Bonded Bricks/Stone Wall","32342"
"Not Stated about Wall","3806"
"Other Type Wall","298"
"Unbaked Bricks","751"
"Wood/Planks","585"
"Total","109505"
