"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","24862"
"Mud Roof","28"
"Not Sated Roof","3940"
"Other Type of Roof","213"
"RCC Roof","72083"
"Thatch/Straw Roof","1622"
"Tile/Slate Roof","6550"
"Wood/Planks Roof","207"
"Total","109505"
