"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","239"
"Male","201"
"Chhetri",""
"Female","629"
"Male","571"
"Damai/Dholi",""
"Female","239"
"Male","214"
"Danuwar",""
"Female","5"
"Male","7"
"Dhobi",""
"Female","5"
"Male","6"
"Gharti/Bhujel",""
"Female","55"
"Male","47"
"Hayu",""
"Female","17"
"Male","18"
"Kami",""
"Female","550"
"Male","556"
"Magar",""
"Female","1842"
"Male","1643"
"Majhi",""
"Female","2084"
"Male","1850"
"Newar",""
"Female","424"
"Male","346"
"Others",""
"Female","29"
"Male","51"
"Sanyasi/Dasnami",""
"Female","91"
"Male","71"
"Sarki",""
"Female","61"
"Male","67"
"Sonar",""
"Female","7"
"Male","10"
"Sunuwar",""
"Female","28"
"Male","17"
"Tamang",""
"Female","8124"
"Male","7498"
"Teli",""
"Female","3"
"Male","10"
"Thami",""
"Female","108"
"Male","99"
