"Agricultural land use area","Hectare"
"Area under arable land","12666.00"
"Area under meadows and pasture","23.00"
"Area under permanent crops","4231.00"
"Area under Temporary crops","12053.00"
"Area under temporary fallow","555.00"
"Area under temporary meadows","59.00"
"Other land","365.00"
"Ponds","0.00"
"Woodland and forest","93.00"
"Total","30045.00"
