"Population by Single Year of Age","Number"
"0",""
"Female","287"
"Male","328"
"1",""
"Female","369"
"Male","402"
"10",""
"Female","518"
"Male","518"
"11",""
"Female","375"
"Male","434"
"12",""
"Female","523"
"Male","565"
"13",""
"Female","451"
"Male","457"
"14",""
"Female","486"
"Male","431"
"15",""
"Female","475"
"Male","460"
"16",""
"Female","463"
"Male","401"
"17",""
"Female","424"
"Male","321"
"18",""
"Female","457"
"Male","317"
"19",""
"Female","335"
"Male","223"
"2",""
"Female","376"
"Male","408"
"20",""
"Female","396"
"Male","238"
"21",""
"Female","341"
"Male","222"
"22",""
"Female","355"
"Male","233"
"23",""
"Female","350"
"Male","207"
"24",""
"Female","324"
"Male","272"
"25",""
"Female","372"
"Male","271"
"26",""
"Female","297"
"Male","309"
"27",""
"Female","252"
"Male","276"
"28",""
"Female","294"
"Male","279"
"29",""
"Female","172"
"Male","249"
"3",""
"Female","432"
"Male","430"
"30",""
"Female","396"
"Male","236"
"31",""
"Female","175"
"Male","136"
"32",""
"Female","277"
"Male","162"
"33",""
"Female","171"
"Male","140"
"34",""
"Female","151"
"Male","151"
"35",""
"Female","344"
"Male","248"
"36",""
"Female","209"
"Male","164"
"37",""
"Female","159"
"Male","116"
"38",""
"Female","209"
"Male","157"
"39",""
"Female","128"
"Male","112"
"4",""
"Female","480"
"Male","514"
"40",""
"Female","387"
"Male","279"
"41",""
"Female","135"
"Male","89"
"42",""
"Female","170"
"Male","141"
"43",""
"Female","96"
"Male","95"
"44",""
"Female","108"
"Male","89"
"45",""
"Female","251"
"Male","170"
"46",""
"Female","108"
"Male","95"
"47",""
"Female","96"
"Male","94"
"48",""
"Female","145"
"Male","131"
"49",""
"Female","83"
"Male","81"
"5",""
"Female","446"
"Male","462"
"50",""
"Female","279"
"Male","257"
"51",""
"Female","92"
"Male","76"
"52",""
"Female","111"
"Male","119"
"53",""
"Female","78"
"Male","105"
"54",""
"Female","80"
"Male","64"
"55",""
"Female","157"
"Male","140"
"56",""
"Female","107"
"Male","102"
"57",""
"Female","73"
"Male","86"
"58",""
"Female","103"
"Male","89"
"59",""
"Female","67"
"Male","80"
"6",""
"Female","469"
"Male","468"
"60",""
"Female","255"
"Male","183"
"61",""
"Female","73"
"Male","66"
"62",""
"Female","79"
"Male","80"
"63",""
"Female","52"
"Male","66"
"64",""
"Female","58"
"Male","55"
"65",""
"Female","109"
"Male","106"
"66",""
"Female","47"
"Male","42"
"67",""
"Female","59"
"Male","51"
"68",""
"Female","57"
"Male","67"
"69",""
"Female","33"
"Male","43"
"7",""
"Female","443"
"Male","441"
"70",""
"Female","135"
"Male","104"
"71",""
"Female","24"
"Male","32"
"72",""
"Female","41"
"Male","40"
"73",""
"Female","26"
"Male","21"
"74",""
"Female","17"
"Male","14"
"75",""
"Female","48"
"Male","37"
"76",""
"Female","17"
"Male","20"
"77",""
"Female","13"
"Male","17"
"78",""
"Female","16"
"Male","21"
"79",""
"Female","11"
"Male","5"
"8",""
"Female","521"
"Male","513"
"80",""
"Female","39"
"Male","12"
"81",""
"Female","9"
"Male","8"
"82",""
"Female","5"
"Male","19"
"83",""
"Female","7"
"Male","10"
"84",""
"Female","9"
"Male","8"
"85",""
"Female","35"
"Male","15"
"9",""
"Female","431"
"Male","419"
