"Population by Five Years Age Group","Number"
"0-4",""
"Female","1944"
"Male","2082"
"10-14",""
"Female","2353"
"Male","2405"
"15-19",""
"Female","2154"
"Male","1722"
"20-24",""
"Female","1766"
"Male","1172"
"25-29",""
"Female","1387"
"Male","1384"
"30-34",""
"Female","1170"
"Male","825"
"35-39",""
"Female","1049"
"Male","797"
"40-44",""
"Female","896"
"Male","693"
"45-49",""
"Female","683"
"Male","571"
"50-54",""
"Female","640"
"Male","621"
"55-59",""
"Female","507"
"Male","497"
"5-9",""
"Female","2310"
"Male","2303"
"60-64",""
"Female","517"
"Male","450"
"65-69",""
"Female","305"
"Male","309"
"70-74",""
"Female","243"
"Male","211"
"75+",""
"Female","209"
"Male","172"
