"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","569"
"Male","552"
"","1121"
"Byasi/Sauka",""
"Female","173"
"Male","159"
"","332"
"Chhetri",""
"Female","1111"
"Male","1042"
"","2153"
"Damai/Dholi",""
"Female","275"
"Male","280"
"","555"
"Kami",""
"Female","262"
"Male","259"
"","521"
"Others",""
"Female","11"
"Male","9"
"","20"
"Sarki",""
"Female","128"
"Male","154"
"","282"
"Tamang",""
"Female","7"
"Male","7"
"","14"
"Teli",""
"Female","56"
"Male","58"
"","114"
"Thakuri",""
"Female","424"
"Male","428"
"","852"
