"Number of households by type of outer wall","Number"
"BambooWall","357"
"Cement Bonded Bricks/Stone Wall","4038"
"Mud Bonded Bricks/Stone Wall","30843"
"Not Stated about Wall","149"
"Other Type Wall","96"
"Unbaked Bricks","70"
"Wood/Planks","145"
"Total","35698"
