"Agricultural land use area","Hectare"
"Area under arable land","9465.00"
"Area under meadows and pasture","54.00"
"Area under permanent crops","1597.00"
"Area under Temporary crops","9014.00"
"Area under temporary fallow","386.00"
"Area under temporary meadows","65.00"
"Other land","778.00"
"Ponds","2.00"
"Woodland and forest","702.00"
"Total","22063.00"
