"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","151"
"Cow Dung","15"
"Electricity Fuel","21"
"KeroseneFuel","141"
"LP Gas","4483"
"Not Sated about Fuel","91"
"OthersFuel","6"
"Wood/FireWood","30790"
"Total","35698"
