"Agricultural land use area","Hectare"
"Area under arable land","93230.00"
"Area under meadows and pasture","744.00"
"Area under permanent crops","3438.00"
"Area under Temporary crops","92488.00"
"Area under temporary fallow","493.00"
"Area under temporary meadows","249.00"
"Other land","4384.00"
"Ponds","125.00"
"Woodland and forest","521.00"
"Total","195672.00"
