"Population by Five Years Age Group","Number"
"0-4",""
"Female","2726"
"Male","2845"
"10-14",""
"Female","3081"
"Male","3226"
"15-19",""
"Female","2056"
"Male","2295"
"20-24",""
"Female","1829"
"Male","1636"
"25-29",""
"Female","1825"
"Male","1823"
"30-34",""
"Female","1505"
"Male","1279"
"35-39",""
"Female","1282"
"Male","1420"
"40-44",""
"Female","998"
"Male","965"
"45-49",""
"Female","794"
"Male","896"
"50-54",""
"Female","632"
"Male","666"
"55-59",""
"Female","527"
"Male","556"
"5-9",""
"Female","3221"
"Male","3412"
"60-64",""
"Female","483"
"Male","513"
"65-69",""
"Female","311"
"Male","371"
"70-74",""
"Female","216"
"Male","226"
"75+",""
"Female","188"
"Male","184"
