"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","11"
"Male","13"
"Bhote",""
"Female","22"
"Male","26"
"Brahman - Hill",""
"Female","40"
"Male","39"
"Chamling",""
"Female","9"
"Male","5"
"Chhetri",""
"Female","412"
"Male","432"
"Damai/Dholi",""
"Female","73"
"Male","58"
"Gurung",""
"Female","617"
"Male","599"
"Kami",""
"Female","229"
"Male","218"
"Kulung",""
"Female","565"
"Male","559"
"Limbu",""
"Female","30"
"Male","21"
"Magar",""
"Female","88"
"Male","92"
"Mewahang Bala",""
"Female","264"
"Male","259"
"Newar",""
"Female","3"
"Male","9"
"Others",""
"Female","35"
"Male","35"
"Rai",""
"Female","589"
"Male","602"
"Sherpa",""
"Female","1276"
"Male","1317"
"Tamang",""
"Female","724"
"Male","761"
"Topkegola",""
"Female","32"
"Male","37"
"Undefined Others",""
"Female","11"
"Male","9"
"Yamphu",""
"Female","1752"
"Male","1699"
