"Population by Mother tongue","Number"
"Chamling",""
"Female","71"
"Male","54"
"Gurung",""
"Female","319"
"Male","334"
"Khaling",""
"Female","139"
"Male","174"
"Kulung",""
"Female","593"
"Male","584"
"Limbu",""
"Female","29"
"Male","21"
"Magar",""
"Female","22"
"Male","1"
"Maithili",""
"Female","10"
"Male","11"
"Mewahang",""
"Female","240"
"Male","237"
"Nachhiring",""
"Female","8"
"Male","10"
"Nepali",""
"Female","1220"
"Male","1190"
"Not Reported",""
"Female","14"
"Male","13"
"Others",""
"Female","34"
"Male","30"
"Rai",""
"Female","155"
"Male","134"
"Sherpa",""
"Female","1315"
"Male","1372"
"Tamang",""
"Female","707"
"Male","745"
"Yamphu/Yamphe",""
"Female","1906"
"Male","1880"
