"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","375"
"Cow Dung","32"
"Electricity Fuel","40"
"KeroseneFuel","110"
"LP Gas","1596"
"Not Sated about Fuel","141"
"OthersFuel","36"
"Wood/FireWood","45386"
"Total","47716"
