"Agricultural land use area","Hectare"
"Area under arable land","18853.00"
"Area under meadows and pasture","340.00"
"Area under permanent crops","4562.00"
"Area under Temporary crops","18023.00"
"Area under temporary fallow","565.00"
"Area under temporary meadows","265.00"
"Other land","1261.00"
"Ponds","2.00"
"Woodland and forest","795.00"
"Total","44666.00"
