"Number of households by type of outer wall","Number"
"BambooWall","531"
"Cement Bonded Bricks/Stone Wall","2315"
"Mud Bonded Bricks/Stone Wall","43729"
"Not Stated about Wall","245"
"Other Type Wall","66"
"Unbaked Bricks","140"
"Wood/Planks","690"
"Total","47716"
