"Population by Mother tongue","Number"
"Bangla",""
"Female","3"
"Male","9"
"","12"
"Bhojpuri",""
"Female","31"
"Male","56"
"","87"
"Doteli",""
"Female","14"
"Male","10"
"","24"
"Gurung",""
"Female","545"
"Male","417"
"","962"
"Hindi",""
"Female","11"
"Male","11"
"","22"
"Magar",""
"Female","2827"
"Male","2329"
"","5156"
"Maithili",""
"Female","23"
"Male","49"
"","72"
"Nepali",""
"Female","123365"
"Male","94802"
"","218167"
"Newar",""
"Female","778"
"Male","690"
"","1468"
"Not Reported",""
"Female","32"
"Male","28"
"","60"
"Others",""
"Female","71"
"Male","110"
"","181"
"Tamang",""
"Female","162"
"Male","141"
"","303"
"Tharu",""
"Female","57"
"Male","124"
"","181"
"Urdu",""
"Female","52"
"Male","49"
"","101"
