"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","466"
"Male","503"
"","969"
"Bhujel",""
"Female","6"
"Male","5"
"","11"
"Bote",""
"Female","477"
"Male","392"
"","869"
"Chepang",""
"Female","496"
"Male","476"
"","972"
"Darai",""
"Female","177"
"Male","161"
"","338"
"Gurung",""
"Female","383"
"Male","330"
"","713"
"Hindi",""
"Female","20"
"Male","19"
"","39"
"Magar",""
"Female","198"
"Male","175"
"","373"
"Maithili",""
"Female","33"
"Male","31"
"","64"
"Nepali",""
"Female","12771"
"Male","10024"
"","22795"
"Newar",""
"Female","55"
"Male","43"
"","98"
"Not Reported",""
"Female","9"
"Male","8"
"","17"
"Others",""
"Female","23"
"Male","23"
"","46"
"Rai",""
"Female","9"
"Male","8"
"","17"
"Tamang",""
"Female","570"
"Male","564"
"","1134"
"Tharu",""
"Female","5114"
"Male","4114"
"","9228"
