"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","2636"
"Christianity","1065"
"Hindu","33587"
"Islam","337"
"Jainism","0"
"Kirat","0"
"Prakriti","28"
"Sikhism","0"
"Undefined","110"
"Total","37764"
