"Number of households by type of outer wall","Number"
"BambooWall","65414"
"Cement Bonded Bricks/Stone Wall","19286"
"Mud Bonded Bricks/Stone Wall","11828"
"Not stated","2417"
"Others","1497"
"Unbaked Bricks","512"
"Wood/Planks","5698"
"Total","106652"
