"Agricultural land use area","Hectare"
"Area under arable land","59656.03"
"Area under meadows and pasture","73.45"
"Area under permanent crops","1936.11"
"Area under Temporary crops","58861.92"
"Area under temporary fallow","243.63"
"Area under temporary meadows","550.48"
"Other land","2051.81"
"Ponds","120.03"
"Woodland and forest","997.50"
