"Population by Five Years Age Group","Number"
"0-4",""
"Female","2390"
"Male","2511"
"10-14",""
"Female","3588"
"Male","3854"
"15-19",""
"Female","3599"
"Male","3740"
"20-24",""
"Female","3338"
"Male","3208"
"25-29",""
"Female","3220"
"Male","2897"
"30-34",""
"Female","2600"
"Male","2485"
"35-39",""
"Female","2303"
"Male","2261"
"40-44",""
"Female","1819"
"Male","2089"
"45-49",""
"Female","1513"
"Male","1607"
"50-54",""
"Female","1272"
"Male","1389"
"55-59",""
"Female","907"
"Male","980"
"5-9",""
"Female","3018"
"Male","3296"
"60-64",""
"Female","855"
"Male","851"
"65-69",""
"Female","563"
"Male","586"
"70-74",""
"Female","430"
"Male","442"
"75+",""
"Female","480"
"Male","475"
