"Number of households by type of outer wall","Number"
"BambooWall","249"
"Cement Bonded Bricks/Stone Wall","9487"
"Mud Bonded Bricks/Stone Wall","2184"
"Not stated","292"
"Others","181"
"Unbaked Bricks","18"
"Wood/Planks","86"
"Total","12497"
