"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","23"
"Male","17"
"Brahman - Hill",""
"Female","855"
"Male","710"
"Chhetri",""
"Female","631"
"Male","541"
"Damai/Dholi",""
"Female","161"
"Male","137"
"Kami",""
"Female","538"
"Male","442"
"Magar",""
"Female","3206"
"Male","2451"
"Newar",""
"Female","1839"
"Male","1554"
"Others",""
"Female","43"
"Male","39"
"Pahari",""
"Female","169"
"Male","164"
"Sarki",""
"Female","278"
"Male","269"
"Sherpa",""
"Female","82"
"Male","69"
"Tamang",""
"Female","3667"
"Male","3069"
"Thami",""
"Female","944"
"Male","840"
