"Population by Five Years Age Group","Number"
"0-4",""
"Female","851"
"Male","902"
"10-14",""
"Female","1843"
"Male","1797"
"15-19",""
"Female","1599"
"Male","1179"
"20-24",""
"Female","955"
"Male","583"
"25-29",""
"Female","750"
"Male","483"
"30-34",""
"Female","653"
"Male","440"
"35-39",""
"Female","671"
"Male","443"
"40-44",""
"Female","698"
"Male","517"
"45-49",""
"Female","605"
"Male","506"
"50-54",""
"Female","608"
"Male","515"
"55-59",""
"Female","398"
"Male","413"
"5-9",""
"Female","1358"
"Male","1377"
"60-64",""
"Female","443"
"Male","345"
"65-69",""
"Female","330"
"Male","325"
"70-74",""
"Female","327"
"Male","233"
"75+",""
"Female","347"
"Male","279"
