"Population by Five Years Age Group","Number"
"0-4",""
"Female","2235"
"Male","2348"
"10-14",""
"Female","2978"
"Male","3074"
"15-19",""
"Female","2864"
"Male","2587"
"20-24",""
"Female","2666"
"Male","1662"
"25-29",""
"Female","2550"
"Male","1485"
"30-34",""
"Female","2186"
"Male","1665"
"35-39",""
"Female","1906"
"Male","1623"
"40-44",""
"Female","1600"
"Male","1477"
"45-49",""
"Female","1272"
"Male","1218"
"50-54",""
"Female","1313"
"Male","1181"
"55-59",""
"Female","1030"
"Male","988"
"5-9",""
"Female","2551"
"Male","2648"
"60-64",""
"Female","1022"
"Male","952"
"65-69",""
"Female","701"
"Male","751"
"70-74",""
"Female","539"
"Male","573"
"75+",""
"Female","684"
"Male","720"
