"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","1081"
"Mud Roof","3"
"Not Sated Roof","19"
"Other Type of Roof","25"
"RCC Roof","86"
"Thatch/Straw Roof","160"
"Tile/Slate Roof","3694"
"Wood/Planks Roof","11"
"Total","5079"
