"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1819"
"Cow Dung","6813"
"Electricity","23"
"Kerosene","339"
"LP Gas","7933"
"Not stated","414"
"Others","444"
"Wood/Firewood","44060"
"Total","61845"
