"Agricultural land use area","Hectare"
"Area under arable land","32572.26"
"Area under meadows and pasture","17.72"
"Area under permanent crops","298.66"
"Area under Temporary crops","32402.50"
"Area under temporary fallow","157.56"
"Area under temporary meadows","12.20"
"Other land","1462.29"
"Ponds","6.30"
"Woodland and forest","132.99"
