"Population by Five Years Age Group","Number"
"0-4",""
"Female","14213"
"Male","15027"
"10-14",""
"Female","21520"
"Male","21846"
"15-19",""
"Female","19027"
"Male","18647"
"20-24",""
"Female","16813"
"Male","13578"
"25-29",""
"Female","15619"
"Male","12180"
"30-34",""
"Female","12843"
"Male","9506"
"35-39",""
"Female","10933"
"Male","9245"
"40-44",""
"Female","9151"
"Male","7956"
"45-49",""
"Female","7459"
"Male","7338"
"50-54",""
"Female","6112"
"Male","6178"
"55-59",""
"Female","5303"
"Male","5321"
"5-9",""
"Female","18540"
"Male","19766"
"60-64",""
"Female","4993"
"Male","4990"
"65-69",""
"Female","3477"
"Male","3893"
"70-74",""
"Female","2483"
"Male","2825"
"75+",""
"Female","2522"
"Male","2600"
