"Number of households by type of outer wall","Number"
"BambooWall","1919"
"Cement Bonded Bricks/Stone Wall","3215"
"Mud Bonded Bricks/Stone Wall","476"
"Not Stated about Wall","88"
"Other Type Wall","692"
"Unbaked Bricks","8"
"Wood/Planks","994"
"Total","7392"
