"Population by Caste Ethinicity","Number"
"Bote",""
"Female","52"
"Male","39"
"","91"
"Brahman - Hill",""
"Female","3503"
"Male","2576"
"","6079"
"Chepang /Praja",""
"Female","1"
"Male","19"
"","20"
"Chhantyal/Chhantel",""
"Female","11"
"Male","6"
"","17"
"Chhetri",""
"Female","2374"
"Male","1731"
"","4105"
"Damai/Dholi",""
"Female","669"
"Male","481"
"","1150"
"Foreigner",""
"Female","39"
"Male","22"
"","61"
"Gaine",""
"Female","7"
"Male","9"
"","16"
"Gharti/Bhujel",""
"Female","58"
"Male","42"
"","100"
"Gurung",""
"Female","205"
"Male","172"
"","377"
"Kalwar",""
"Female","55"
"Male","46"
"","101"
"Kami",""
"Female","1514"
"Male","1141"
"","2655"
"Kathabaniyan",""
"Female","4"
"Male","7"
"","11"
"Kumal",""
"Female","366"
"Male","307"
"","673"
"Magar",""
"Female","2347"
"Male","1874"
"","4221"
"Musalman",""
"Female","30"
"Male","34"
"","64"
"Newar",""
"Female","120"
"Male","101"
"","221"
"Others",""
"Female","31"
"Male","33"
"","64"
"Sarki",""
"Female","998"
"Male","719"
"","1717"
"Terai Others",""
"Female","11"
"Male","12"
"","23"
"Thakali",""
"Female","23"
"Male","14"
"","37"
"Thakuri",""
"Female","14"
"Male","10"
"","24"
