"Population by Five Years Age Group","Number"
"0-4",""
"Female","2034"
"Male","1948"
"10-14",""
"Female","2144"
"Male","2300"
"15-19",""
"Female","1229"
"Male","1533"
"20-24",""
"Female","1192"
"Male","1073"
"25-29",""
"Female","1098"
"Male","1184"
"30-34",""
"Female","1140"
"Male","1045"
"35-39",""
"Female","965"
"Male","1047"
"40-44",""
"Female","748"
"Male","859"
"45-49",""
"Female","535"
"Male","689"
"50-54",""
"Female","405"
"Male","498"
"55-59",""
"Female","462"
"Male","400"
"5-9",""
"Female","2508"
"Male","2516"
"60-64",""
"Female","463"
"Male","465"
"65-69",""
"Female","361"
"Male","431"
"70-74",""
"Female","217"
"Male","294"
"75+",""
"Female","191"
"Male","169"
