"Number of households by type of outer wall","Number"
"BambooWall","3412"
"Cement Bonded Bricks/Stone Wall","640"
"Mud Bonded Bricks/Stone Wall","350"
"Not stated","182"
"Others","18"
"Unbaked Bricks","32"
"Wood/Planks","57"
"Total","4691"
