"Population by Five Years Age Group","Number"
"0-4",""
"Female","2890"
"Male","2910"
"10-14",""
"Female","3093"
"Male","3377"
"15-19",""
"Female","1847"
"Male","2301"
"20-24",""
"Female","1556"
"Male","1580"
"25-29",""
"Female","1750"
"Male","1612"
"30-34",""
"Female","1615"
"Male","1573"
"35-39",""
"Female","1445"
"Male","1530"
"40-44",""
"Female","1189"
"Male","1290"
"45-49",""
"Female","967"
"Male","1069"
"50-54",""
"Female","763"
"Male","881"
"55-59",""
"Female","708"
"Male","749"
"5-9",""
"Female","3404"
"Male","3620"
"60-64",""
"Female","672"
"Male","700"
"65-69",""
"Female","525"
"Male","582"
"70-74",""
"Female","414"
"Male","457"
"75+",""
"Female","301"
"Male","317"
